task,framework,graph_model,n,rounds,score,runtime,success,error
vertex_cover,langgraph,ba,50,11,0.8020833333333334,340.83883786201477,True,
leader_election,langgraph,dt,100,19,1.0,1463.185597896576,True,
coloring,langgraph,ws,8,8,0.9375,107.68752884864807,True,
vertex_cover,langgraph,ba,16,8,0.6363636363636364,133.11080121994019,True,
consensus,langgraph,ba,50,11,0.0,371.66884756088257,True,
leader_election,langgraph,ba,4,5,0.0,49.570520639419556,True,
consensus,langgraph,dt,100,19,0.0,1400.5187711715698,True,
matching,langgraph,ba,16,8,0.9375,120.32622742652893,True,
vertex_cover,langgraph,ws,8,8,0.7857142857142857,118.25855326652527,True,
matching,concordia,ws,4,8,1.0,73.69133281707764,True,
leader_election,langgraph,ws,16,7,0.0,156.51566219329834,True,
vertex_cover,langgraph,dt,100,19,0.8028169014084507,1516.5909521579742,True,
vertex_cover,langgraph,ws,50,11,0.88,446.1231689453125,True,
vertex_cover,langgraph,ws,16,8,0.875,141.50616550445557,True,
matching,langgraph,ws,50,11,0.68,310.68553471565247,True,
leader_election,langgraph,dt,4,5,0.0,41.81439185142517,True,
vertex_cover,langgraph,ws,4,8,0.8333333333333334,90.88455009460449,True,
consensus,concordia,ws,4,3,1.0,25.863393783569336,True,
vertex_cover,langgraph,ws,8,8,0.2857142857142857,109.28507447242737,True,
consensus,langgraph,ws,16,7,1.0,86.56561207771301,True,
consensus,concordia,ws,100,3,1.0,922.3622012138367,True,
coloring,langgraph,ba,50,11,0.9583333333333334,377.7384011745453,True,
leader_election,langgraph,ba,8,7,0.0,72.63461351394653,True,
coloring,langgraph,ba,100,11,0.9744897959183674,651.965357542038,True,
coloring,langgraph,ws,100,15,0.975,928.7344913482666,True,
consensus,langgraph,ba,100,11,0.0,732.6831033229828,True,
matching,langgraph,ba,100,11,0.68,577.0424444675446,True,
leader_election,langgraph,dt,16,9,1.0,168.35730504989624,True,
matching,concordia,ws,16,8,0.75,195.85457348823547,True,
vertex_cover,langgraph,ws,16,8,0.9916666666666666,320.83133697509766,True,
leader_election,concordia,ws,16,3,0.0,60.910704374313354,True,
vertex_cover,langgraph,dt,8,8,0.0,116.06663393974304,True,
consensus,concordia,ws,8,3,1.0,31.711369276046753,True,
coloring,langgraph,ws,4,8,0.8333333333333334,72.66747665405273,True,
leader_election,concordia,ws,100,3,0.0,515.3779850006104,True,
vertex_cover,langgraph,ba,8,8,0.2857142857142857,110.6419095993042,True,
coloring,langgraph,ba,16,8,0.9642857142857143,116.93182563781738,True,
leader_election,langgraph,ba,100,11,0.0,614.7862734794617,True,
leader_election,concordia,ws,4,3,1.0,39.723520278930664,True,
coloring,langgraph,dt,100,19,0.8133802816901409,1208.730209827423,True,
matching,concordia,ws,100,3,0.42,620.7747437953949,True,
consensus,langgraph,dt,50,13,0.0,472.16723442077637,True,
coloring,langgraph,ws,16,8,0.90625,110.52221632003784,True,
consensus,langgraph,ws,8,7,0.0,101.33481216430664,True,
leader_election,langgraph,ws,4,3,0.0,35.169893980026245,True,
vertex_cover,langgraph,ba,100,11,0.8520408163265306,669.9358184337616,True,
coloring,langgraph,dt,16,8,0.7692307692307693,158.21320343017578,True,
matching,langgraph,dt,16,8,1.0,109.45545434951782,True,
leader_election,concordia,ws,8,3,0.0,47.28616118431091,True,
vertex_cover,langgraph,dt,16,8,0.9487179487179487,129.82032203674316,True,
coloring,langgraph,ws,50,11,0.0,379.6434733867645,True,
consensus,langgraph,ba,16,9,1.0,134.95363640785217,True,
matching,langgraph,ba,8,8,1.0,94.69098043441772,True,
consensus,langgraph,dt,16,9,1.0,145.34030079841614,True,
vertex_cover,langgraph,ws,4,8,0.8333333333333334,103.03624653816223,True,
vertex_cover,langgraph,ws,100,15,0.805,1057.1442980766296,True,
matching,langgraph,ws,8,8,0.75,122.56716895103455,True,
leader_election,langgraph,ws,50,11,0.0,327.1536560058594,True,
consensus,langgraph,ba,4,5,1.0,54.266433000564575,True,
leader_election,langgraph,ba,16,9,0.0,125.32290267944336,True,
vertex_cover,langgraph,dt,4,8,1.0,87.54846119880676,True,
consensus,langgraph,ws,4,3,1.0,22.290168046951294,True,
consensus,langgraph,dt,4,5,1.0,47.75325632095337,True,
consensus,langgraph,ws,50,11,0.0,378.3609323501587,True,
consensus,langgraph,ba,8,7,1.0,77.49469995498657,True,
matching,langgraph,ws,16,8,0.875,141.43826007843018,True,
matching,langgraph,ws,4,8,0.5,111.18975687026978,True,
consensus,langgraph,ws,100,15,0.0,1010.5265929698944,True,
matching,concordia,ws,50,3,0.24,181.93344736099243,True,
