task,framework,graph_model,n,rounds,score,runtime,success,error
coloring,langgraph,ws,8,8,0.9375,107.68752884864807,True,
matching,langgraph,ba,16,8,0.9375,120.32622742652893,True,
matching,langgraph,ws,4,8,1.0,73.69133281707764,True,
consensus,langgraph,ws,4,3,1.0,25.863393783569336,True,
consensus,langgraph,ws,16,7,1.0,86.56561207771301,True,
matching,langgraph,ws,16,8,0.75,195.85457348823547,True,
consensus,langgraph,ws,8,3,1.0,31.711369276046753,True,
coloring,langgraph,ws,4,8,0.8333333333333334,72.66747665405273,True,
coloring,langgraph,ba,16,8,0.9642857142857143,116.93182563781738,True,
coloring,langgraph,ws,16,8,0.90625,110.52221632003784,True,
consensus,langgraph,ws,8,7,0.0,101.33481216430664,True,
coloring,langgraph,dt,16,8,0.7692307692307693,158.21320343017578,True,
matching,langgraph,dt,16,8,1.0,109.45545434951782,True,
consensus,langgraph,ba,16,9,1.0,134.95363640785217,True,
matching,langgraph,ba,8,8,1.0,94.69098043441772,True,
consensus,langgraph,dt,16,9,1.0,145.34030079841614,True,
matching,langgraph,ws,8,8,0.75,122.56716895103455,True,
consensus,langgraph,ba,4,5,1.0,54.266433000564575,True,
consensus,langgraph,ws,4,3,1.0,22.290168046951294,True,
consensus,langgraph,dt,4,5,1.0,47.75325632095337,True,
consensus,langgraph,ba,8,7,1.0,77.49469995498657,True,
matching,langgraph,ws,16,8,0.875,141.43826007843018,True,
matching,langgraph,ws,4,8,0.5,111.18975687026978,True,
consensus,langgraph,ws,16,3,1.0,50.291125774383545,True,
matching,langgraph,dt,8,8,0.75,81.44990062713623,True,
coloring,langgraph,ba,4,8,1.0,66.20711708068848,True,
coloring,langgraph,ba,8,8,1.0,107.84102630615234,True,
matching,langgraph,ws,8,8,1.0,134.07916069030762,True,
consensus,langgraph,dt,8,5,0.0,61.53023386001587,True,
matching,langgraph,ba,4,8,0.5,88.36832880973816,True,
coloring,langgraph,dt,4,8,0.8,118.18345332145691,True,
matching,langgraph,dt,4,8,1.0,76.93077182769775,True,
coloring,langgraph,dt,8,8,1.0,119.89100170135498,True,
